Kota/Kabupaten,total_pembayaran,order_count,avg_shipping_cost,wilayah_clean,KODE_KK,KODE_PROV,KAB_KOTA,PROVINSI,FID,lat,lon
KAB. ACEH BARAT,216706.0,7,33428.57142857143,aceh barat,11.05,11,Aceh Barat,Aceh,11.05,4.454467876803632,96.1808791199673
KAB. ACEH BARAT DAYA,87190.0,1,48500.0,aceh barat daya,11.12,11,Aceh Barat Daya,Aceh,11.12,3.8226302105717513,96.88029471945683
KAB. ACEH BESAR,0.0,1,50500.0,aceh besar,11.06,11,Aceh Besar,Aceh,11.06,5.380104502982926,95.5151682003349
KAB. ACEH JAYA,321828.0,2,63750.0,aceh jaya,11.14,11,Aceh Jaya,Aceh,11.14,4.832424749549185,95.67808932280758
KAB. ACEH SELATAN,192070.0,3,48500.0,aceh selatan,11.01,11,Aceh Selatan,Aceh,11.01,3.161853840916761,97.4365177186484
KAB. ACEH SINGKIL,32000.0,2,22000.0,aceh singkil,11.10,11,Aceh Singkil,Aceh,11.10,2.3479697391580054,97.84505654578058
KAB. ACEH TAMIANG,95000.0,4,31375.0,aceh tamiang,11.16,11,Aceh Tamiang,Aceh,11.16,4.224494150594019,97.98299311718927
KAB. ACEH TENGAH,377028.0,12,30958.333333333332,aceh tengah,11.04,11,Aceh Tengah,Aceh,11.04,4.5198880806565,96.88130519691241
KAB. ACEH TIMUR,169387.0,7,31428.571428571428,aceh timur,11.03,11,Aceh Timur,Aceh,11.03,4.630440507199897,97.6260853797401
KAB. ACEH UTARA,279097.0,8,27000.0,aceh utara,11.08,11,Aceh Utara,Aceh,11.08,5.015647182759456,97.18189663494238
KAB. AGAM,125697.0,7,34628.57142857143,agam,13.06,13,Agam,Sumatera Barat,13.06,-0.2518796574494058,100.17088358942847
KAB. ASAHAN,866392.0,12,33708.166666666664,asahan,12.09,12,Asahan,Sumatera Utara,12.09,2.8049256994625846,99.5593602703242
KAB. BADUNG,2949963.0,30,38943.36666666667,badung,51.03,51,Badung,Bali,51.03,-8.582846789383316,115.18838021914159
KAB. BANDUNG,23044232.0,453,13024.072847682119,bandung,32.04,32,Bandung,Jawa Barat,32.04,-7.0975880233324755,107.60872729833476
KAB. BANDUNG,23044232.0,453,13024.072847682119,bandung,32.73,32,Kota Bandung,Jawa Barat,32.73,-6.919241381152638,107.63660062704719
KAB. BANDUNG BARAT,4252291.0,175,11646.857142857143,bandung barat,32.17,32,Bandung Barat,Jawa Barat,32.17,-6.890437540752318,107.41498197506084
KAB. BANGGAI,251300.0,3,61533.333333333336,banggai,72.01,72,Banggai,Sulawesi Tengah,72.01,-1.018481100795288,122.5883093237611
KAB. BANGGAI LAUT,46997.0,1,14000.0,banggai laut,72.11,72,Banggai Laut,Sulawesi Tengah,72.11,-1.7801157389912847,123.52946569414917
KAB. BANGKA,704185.0,15,35353.333333333336,bangka,19.01,19,Bangka,Kepulauan Bangka Belitung,19.01,-1.9042799441305627,105.91963403681478
KAB. BANGKA BARAT,700913.0,14,34973.5,bangka barat,19.05,19,Bangka Barat,Kepulauan Bangka Belitung,19.05,-1.8892112371446783,105.48762896661377
KAB. BANGKA SELATAN,253482.0,8,31500.0,bangka selatan,19.03,19,Bangka Selatan,Kepulauan Bangka Belitung,19.03,-2.7786065042676267,106.3491438610461
KAB. BANGKA TENGAH,435674.0,8,36112.5,bangka tengah,19.04,19,Bangka Tengah,Kepulauan Bangka Belitung,19.04,-2.432425847059166,106.2339104367252
KAB. BANGKALAN,5760564.0,64,28825.0,bangkalan,35.26,35,Bangkalan,Jawa Timur,35.26,-7.0443361592177824,112.9295363838128
KAB. BANGLI,501220.0,5,52300.0,bangli,51.06,51,Bangli,Bali,51.06,-8.293123651647305,115.34729260144327
KAB. BANJAR,1117224.0,19,40815.78947368421,banjar,32.79,32,Kota Banjar,Jawa Barat,32.79,-7.376988749932354,108.56720461752244
KAB. BANJAR,1117224.0,19,40815.78947368421,banjar,63.03,63,Banjar,Kalimantan Selatan,63.03,-3.320489160814727,115.07991110673105
KAB. BANJARNEGARA,993231.0,43,12874.418604651162,banjarnegara,33.04,33,Banjarnegara,Jawa Tengah,33.04,-7.351327102055196,109.65705151500767
KAB. BANTAENG,367190.0,8,38537.5,bantaeng,73.03,73,Bantaeng,Sulawesi Selatan,73.03,-5.490181034355378,119.98736459323274
KAB. BANTUL,1758511.0,57,13587.719298245614,bantul,34.02,34,Bantul,Daerah Istimewa Yogyakarta,34.02,-7.901333454954115,110.35488149436597
KAB. BANYUASIN,1060356.0,25,25208.0,banyuasin,16.07,16,Banyuasin,Sumatera Selatan,16.07,-2.5193622000148803,104.68740001658381
KAB. BANYUMAS,26101569.0,78,40989.743589743586,banyumas,33.02,33,Banyumas,Jawa Tengah,33.02,-7.4555085796821885,109.17578818104677
KAB. BANYUWANGI,2992126.0,62,16061.290322580646,banyuwangi,35.10,35,Banyuwangi,Jawa Timur,35.10,-8.364660045335807,114.20589727359616
KAB. BARITO KUALA,226060.0,4,28250.0,barito kuala,63.04,63,Barito Kuala,Kalimantan Selatan,63.04,-3.0912037800028274,114.63022057501087
KAB. BARITO SELATAN,179736.0,2,57450.0,barito selatan,62.04,62,Barito Selatan,Kalimantan Tengah,62.04,-1.7743280088066156,114.91107759090265
KAB. BARITO TIMUR,80252.0,2,25650.0,barito timur,62.13,62,Barito Timur,Kalimantan Tengah,62.13,-1.9823283309381259,115.14395498148438
KAB. BARITO UTARA,213390.0,5,42780.0,barito utara,62.05,62,Barito Utara,Kalimantan Tengah,62.05,-0.9283801974152907,115.13762095228356
KAB. BARRU,270424.0,6,36166.666666666664,barru,73.11,73,Barru,Sulawesi Selatan,73.11,-4.4399957472948515,119.69484668456472
KAB. BATANG,1913634.0,31,14387.09677419355,batang,33.25,33,Batang,Jawa Tengah,33.25,-7.021001563451219,109.8615930813494
KAB. BATU BARA,87372.0,2,26650.0,batu bara,12.19,12,Batu Bara,Sumatera Utara,12.19,3.235249406950666,99.47255916289365
KAB. BEKASI,21407242.0,756,9421.604497354498,bekasi,32.16,32,Bekasi,Jawa Barat,32.16,-6.219747307682568,107.12171204227535
KAB. BEKASI,21407242.0,756,9421.604497354498,bekasi,32.75,32,Kota Bekasi,Jawa Barat,32.75,-6.280833552766811,106.97536610721495
KAB. BELITUNG,1187474.0,19,39989.47368421053,belitung,19.02,19,Belitung,Kepulauan Bangka Belitung,19.02,-2.8675973082179147,107.71018081703328
KAB. BELITUNG TIMUR,226992.0,5,33900.0,belitung timur,19.06,19,Belitung Timur,Kepulauan Bangka Belitung,19.06,-2.908459130776851,108.04817900105442
KAB. BENER MERIAH,35400.0,3,30400.0,bener meriah,11.17,11,Bener Meriah,Aceh,11.17,4.770053737528966,97.00411795378746
KAB. BENGKALIS,778743.0,22,40627.318181818184,bengkalis,14.03,14,Bengkalis,Riau,14.03,1.4119064602392088,101.64286133086598
KAB. BENGKAYANG,287282.0,8,46887.5,bengkayang,61.07,61,Bengkayang,Kalimantan Barat,61.07,1.0119529327336794,109.57839986716704
KAB. BENGKULU SELATAN,145625.0,5,17900.0,bengkulu selatan,17.01,17,Bengkulu Selatan,Bengkulu,17.01,-4.348397241799775,103.02116098778819
KAB. BENGKULU TENGAH,30800.0,1,12900.0,bengkulu tengah,17.09,17,Bengkulu Tengah,Bengkulu,17.09,-3.6852212484574807,102.40435657069702
KAB. BENGKULU UTARA,833247.0,13,30838.53846153846,bengkulu utara,17.03,17,Bengkulu Utara,Bengkulu,17.03,-3.418828362061289,102.00188239850586
KAB. BERAU,610064.0,9,70344.44444444444,berau,64.03,64,Berau,Kalimantan Timur,64.03,1.912495108016287,117.340172809786
KAB. BIMA,269883.0,5,35880.0,bima,52.06,52,Bima,Nusa Tenggara Barat,52.06,-8.474806634586558,118.61901683996795
KAB. BIMA,269883.0,5,35880.0,bima,52.72,52,Kota Bima,Nusa Tenggara Barat,52.72,-8.454868239311509,118.78210646267961
KAB. BINTAN,0.0,1,45100.0,bintan,21.01,21,Bintan,Kepulauan Riau,21.01,1.0076251973672685,104.70381106177761
KAB. BIREUEN,111175.0,6,27916.666666666668,bireuen,11.11,11,Bireuen,Aceh,11.11,5.093825519125926,96.60703509738832
KAB. BLITAR,1470859.0,43,14583.720930232557,blitar,35.05,35,Blitar,Jawa Timur,35.05,-8.131013589049383,112.23721629241231
KAB. BLITAR,1470859.0,43,14583.720930232557,blitar,35.72,35,Kota Blitar,Jawa Timur,35.72,-8.094766733588562,112.16697121030957
KAB. BLORA,1826138.0,24,18845.833333333332,blora,33.16,33,Blora,Jawa Tengah,33.16,-7.074438334030851,111.38743501290968
KAB. BOALEMO,34499.0,2,13000.0,boalemo,75.02,75,Boalemo,Gorontalo,75.02,0.6529067801603299,122.32708525080768
KAB. BOGOR,54563790.0,1117,10252.762757385855,bogor,32.71,32,Kota Bogor,Jawa Barat,32.71,-6.593489394559189,106.79935624589578
KAB. BOGOR,54563790.0,1117,10252.762757385855,bogor,32.01,32,Bogor,Jawa Barat,32.01,-6.559797485177805,106.76704664807382
KAB. BOJONEGORO,1425491.0,37,18237.837837837837,bojonegoro,35.22,35,Bojonegoro,Jawa Timur,35.22,-7.255575904187288,111.80986997599292
KAB. BOLAANG MONGONDOW SELATAN,72500.0,2,60250.0,bolaang mongondow selatan,71.11,71,Bolaang Mongondow Selatan,Sulawesi Utara,71.11,0.44430205507640574,123.93249738536541
